Pattern,Name,Prediction
CDL3INSIDE,Three Inside,NOT TRIGGERED
CDL3OUTSIDE,Three Outside,NOT TRIGGERED
CDLBELTHOLD,Belt Hold,NOT TRIGGERED
CDLCLOSINGMARUBOZU,Closing Marubozu,NOT TRIGGERED
CDLDARKCLOUDCOVER,Dark Cloud Cover,NOT TRIGGERED
CDLDOJI,Doji,NOT TRIGGERED
CDLDOJISTAR,Doji Star,NOT TRIGGERED
CDLENGULFING,Engulfing,NOT TRIGGERED
CDLHARAMI,Harami,NOT TRIGGERED
CDLHIGHWAVE,High Wave,NOT TRIGGERED
CDLHIKKAKE,Hikkake,HIGH
CDLLONGLEGGEDDOJI,Long-Legged Doji,NOT TRIGGERED
CDLLONGLINE,Long Line,NOT TRIGGERED
CDLMARUBOZU,Marubozu,NOT TRIGGERED
CDLMORNINGSTAR,Morning Star,NOT TRIGGERED
CDLRICKSHAWMAN,Rickshaw Man,NOT TRIGGERED
CDLSHOOTINGSTAR,Shooting Star,NOT TRIGGERED
CDLSHORTLINE,Short Line,NOT TRIGGERED
CDLSPINNINGTOP,Spinning Top,LOW
CDLXSIDEGAP3METHODS,Gap Three Methods,NOT TRIGGERED
